is_winner,game_duration,tower_kills,dragon_kills,baron_kills,total_kills,total_assists,total_deaths,total_damage_dealt,total_gold_earned,total_minions_killed,total_time_cc_dealt,total_time_played,had_afk_teammates,total_scuttle_crab_kills,total_ward_takedowns,total_wards_placed,gold15,damage_done15,kills15,cs15
True,1733,11,3,1,44,63,22,132866,63886,693,85,8665,False,2,0,63,25837,34075,35901,410
True,2028,8,4,1,34,63,33,142432,67261,736,195,10140,False,6,0,72,24484,26675,38986,421
False,2028,3,1,0,33,41,34,127170,63558,710,156,10140,False,3,0,47,24818,24791,40548,398
True,1957,10,4,1,37,57,24,124005,69834,735,139,9785,False,8,0,79,26099,33416,41180,423
False,1957,2,0,0,24,40,37,103012,58409,748,136,9785,False,1,0,58,24413,28078,51161,416
False,1323,0,2,0,9,5,16,38674,35978,533,65,6615,False,3,0,34,24419,20999,37328,506
True,1323,11,1,1,16,23,9,47551,47495,584,74,6615,False,4,0,41,23516,20791,33555,486
False,1419,1,0,0,18,16,42,69388,40751,474,95,7095,False,1,0,46,23302,26559,54490,378
True,1419,9,2,1,42,53,19,99603,56489,479,146,7095,False,5,0,45,29503,36824,38353,370
False,1974,2,3,1,22,40,32,91029,57812,682,138,9870,False,5,0,58,23647,22348,39445,408
True,1974,7,2,0,32,69,22,117009,61765,695,223,9870,False,5,0,70,23281,26678,34907,422
True,1718,9,1,1,24,33,25,83299,59244,716,111,8590,False,6,0,55,24841,28928,50348,494
False,1718,5,2,0,25,47,24,95778,52781,670,85,8590,False,3,0,63,24225,29951,39557,422
False,1578,2,0,0,10,9,25,53384,42897,637,81,7890,False,2,0,49,22624,19730,35262,424
True,1578,11,4,1,25,27,10,79550,58437,720,86,7890,False,5,0,52,25377,19714,39661,466
False,1638,4,0,0,28,45,33,91266,50723,612,138,8190,False,5,0,63,26553,32322,41539,436
True,1638,8,4,0,33,56,28,110046,54921,588,101,8190,False,3,0,57,25257,30156,46733,421
False,2256,5,2,0,21,23,32,131237,67855,897,121,11280,False,5,0,88,23329,28364,46332,430
True,2256,11,3,1,32,56,21,165863,74264,930,230,11280,False,6,0,132,23393,28335,38937,406
False,1424,1,0,0,17,26,35,66052,40948,550,178,7120,False,1,0,53,24982,30704,43428,392
True,1424,6,3,0,35,42,17,93987,52537,578,64,7120,False,5,0,47,25576,32093,43426,406
False,1782,6,3,0,26,33,38,98766,55557,662,147,8910,False,3,0,62,24561,31234,45256,390
True,1782,9,1,1,38,52,26,108046,65862,730,133,8910,False,6,0,63,27992,33619,44216,438
True,1420,9,1,0,34,25,25,93317,52632,541,99,7100,False,1,0,46,26801,27671,41290,438
False,1420,1,3,0,25,26,34,75005,43718,591,113,7100,False,5,0,35,25679,26202,46189,435
False,963,0,0,0,10,6,32,33935,26374,314,56,4815,False,3,0,24,22261,26630,56233,373
True,963,3,1,0,31,40,10,54870,36948,409,72,4815,False,1,0,29,31035,42102,46786,461
True,1447,8,2,1,36,68,11,89186,55131,530,140,7235,False,4,0,45,27395,27797,44418,427
False,1447,1,1,0,11,18,36,78020,38636,519,107,7235,False,3,0,39,23004,29522,43355,385
False,2668,7,3,0,39,66,37,247977,81642,969,138,13340,False,5,0,90,23313,23900,35925,400
True,2668,10,3,1,37,71,39,200633,86350,941,191,13340,False,7,0,67,24369,20917,40245,426
False,1712,3,1,1,20,23,39,85566,54261,683,111,8560,False,4,0,61,23566,26592,43883,382
True,1712,11,3,1,39,48,20,105453,65686,696,116,8560,False,4,0,71,26718,30166,40225,390
False,1933,4,2,2,28,54,35,83396,64678,705,123,9665,False,4,0,77,25023,19760,39168,414
True,1933,10,3,0,35,69,28,117411,68731,796,133,9665,False,5,0,77,27948,25038,32989,477
False,1582,3,2,0,3,3,30,49626,41178,620,59,7910,False,2,0,53,22419,18936,44089,414
True,1582,11,2,1,30,69,3,81986,54418,619,92,7910,False,3,0,79,24643,25455,29028,371
False,1447,0,0,0,27,40,45,93129,43145,489,173,7235,False,1,0,43,25412,35429,50842,340
True,1447,10,2,1,45,72,27,122362,60415,551,131,7235,False,6,0,54,28431,39048,48364,396
False,1497,2,0,1,22,35,34,69450,47170,498,92,7485,False,3,0,59,21164,22835,43152,347
True,1497,9,3,0,34,45,22,93777,56827,589,98,7485,False,3,0,54,29822,33974,39195,446
True,2232,11,4,2,28,43,22,147850,75754,915,107,11160,False,8,0,59,25924,23289,40562,491
False,2232,2,2,0,21,41,28,136543,67417,963,279,11160,False,2,0,87,21611,23365,35077,441
True,2131,10,4,2,39,57,26,136901,76717,854,159,10655,False,7,0,104,22904,19944,31286,422
False,2131,4,1,0,25,41,39,97634,63662,814,149,10655,False,2,0,70,23711,20339,30577,389
False,1654,3,0,0,16,13,33,68689,45492,633,115,8270,False,4,0,44,23927,22030,34920,428
True,1654,8,4,1,33,59,16,100714,56657,687,141,8270,False,3,0,63,23449,23351,33248,451
False,1248,0,0,0,13,19,30,39644,32418,364,90,6240,False,2,0,38,22686,24812,48447,306
True,1248,11,2,0,30,42,13,77354,48543,520,98,6240,False,4,0,40,30233,39980,35952,448
False,1860,3,0,0,23,35,45,97597,57029,748,181,9300,False,2,0,55,23912,24750,44421,400
True,1860,10,5,2,45,77,23,149449,74657,730,179,9300,False,7,0,52,30893,31392,39759,457
True,1316,6,1,0,30,25,13,78726,44460,520,111,6580,False,3,0,37,25496,34370,35260,410
False,1316,0,1,0,13,14,30,45062,32595,403,61,6580,False,2,0,48,21514,22154,48464,330
False,2377,5,1,2,18,31,29,115947,67442,850,182,11885,False,6,0,102,20792,20122,27011,349
True,2377,11,4,0,29,59,18,153299,72190,866,105,11885,False,4,0,73,22028,19104,32769,416
True,1939,7,2,1,32,69,27,132417,59664,619,168,9695,False,3,0,80,23316,24079,32278,377
False,1939,4,2,0,27,32,32,109417,59044,742,173,9695,False,5,0,59,23214,21272,35480,434
False,2099,2,1,0,26,43,54,182498,60572,766,248,10495,False,4,0,80,23529,31036,45908,424
True,2099,11,4,1,54,75,26,195733,72429,724,326,10495,False,5,0,48,24977,27155,46335,433
False,1007,0,0,0,12,14,22,37415,27312,300,84,5035,False,3,0,24,21307,23243,37883,355
True,1007,2,2,0,22,22,12,45979,32457,349,78,5035,False,1,0,27,24540,27348,41301,360
True,1546,8,1,0,35,65,33,120349,54444,555,166,7730,False,2,0,39,25241,41529,53527,333
False,1546,4,2,0,33,39,35,89864,52492,528,103,7730,False,6,0,38,30267,40921,56700,390
True,1227,3,1,0,23,31,11,62821,39916,517,111,6135,False,3,0,34,24869,30434,40295,425
False,1227,2,1,0,11,8,23,54860,35671,528,70,6135,False,2,0,24,24854,29068,42593,426
True,1826,8,1,0,42,80,32,131399,61793,566,206,9130,False,4,0,57,24229,26036,43382,389
False,1826,7,3,0,32,51,42,108952,60059,636,140,9130,False,4,0,55,26588,28424,40631,401
True,1745,9,0,1,36,71,29,128217,61229,659,177,8725,False,2,0,51,23144,25657,42970,395
False,1745,4,4,1,29,40,36,106270,56776,602,220,8725,False,7,0,43,27417,29281,40656,427
False,1434,3,0,0,18,20,37,55129,44261,540,25,7170,False,3,0,39,23691,21168,45239,413
True,1434,10,3,1,37,54,18,91247,55716,517,60,7170,False,5,0,49,29748,34280,35724,408
True,2008,11,4,2,58,66,48,157701,73534,586,229,10040,False,7,0,60,30511,43082,51555,327
False,2008,7,1,0,48,71,58,154337,70232,767,160,10040,False,2,0,45,27032,34263,54908,319
True,1387,8,2,1,34,43,17,90010,54304,567,120,6935,False,6,0,56,27254,34886,44119,418
False,1387,1,1,0,17,18,34,71848,37548,469,59,6935,False,1,0,42,24014,28655,47628,368
True,1925,10,2,1,43,66,25,145542,71816,752,162,9625,False,6,0,78,26850,30847,41868,386
False,1925,2,2,0,25,31,43,115936,59309,794,147,9625,False,4,0,80,25195,27336,44784,415
False,2343,6,1,0,55,70,49,179736,75814,755,219,11715,False,6,0,62,23310,27460,42381,345
True,2343,9,4,1,49,55,55,165190,76237,708,190,11715,False,4,0,68,26257,31242,44244,412
True,1923,8,4,2,34,49,9,94202,64346,732,116,9615,False,6,0,69,21871,14778,37364,406
False,1923,5,1,0,9,3,34,94712,53979,794,84,9615,False,4,0,55,24420,24867,32047,461
False,2042,3,1,0,38,59,36,142370,61530,685,199,10210,False,6,0,69,25989,30950,39139,391
True,2042,7,3,2,36,73,38,138922,67412,667,181,10210,False,2,0,69,22852,27258,43155,373
True,1589,11,2,0,25,19,26,95963,58315,729,106,7945,False,2,0,62,27740,32942,45890,447
False,1589,1,0,0,26,30,25,87088,48682,624,48,7945,False,5,0,50,25613,32612,46214,396
True,2267,10,4,2,57,79,44,203475,82091,741,200,11335,False,7,0,103,27964,32952,40800,413
False,2267,2,2,0,44,67,57,160644,70894,721,192,11335,False,2,0,62,24383,30015,46752,364
True,1743,9,1,1,39,65,27,123178,59594,593,165,8715,False,6,0,77,24114,29492,45337,367
False,1743,3,2,0,27,37,39,100543,52901,559,149,8715,False,2,0,53,24602,30614,41405,375
True,1762,10,2,1,46,64,27,145882,68334,732,191,8810,False,6,0,46,29177,36322,44686,444
False,1762,1,1,0,27,49,46,129822,53401,581,228,8810,False,3,0,54,24140,30864,50245,359
True,1600,11,3,1,51,66,30,142845,68943,625,176,8000,False,5,0,58,32677,41416,49915,438
False,1600,4,1,0,29,44,51,93097,53834,582,129,8000,False,4,0,52,25335,28694,50835,371
False,1510,1,1,0,14,19,27,70144,40667,572,64,7550,False,4,0,56,24236,30162,42226,409
