is_winner,game_duration,tower_kills,dragon_kills,baron_kills,total_kills,total_assists,total_deaths,total_damage_dealt,total_gold_earned,total_minions_killed,total_time_cc_dealt,total_time_played,had_afk_teammates,total_scuttle_crab_kills,total_ward_takedowns,total_wards_placed,gold15,damage_done15,kills15,cs15
True,2458,10,2,2,51,82,44,193550,88589,843,266,12290,False,4,0,78,24604,23712,37123,379
False,1707,4,1,0,23,23,28,88150,52219,639,77,8535,False,1,0,61,25365,28553,38533,395
True,1707,8,3,1,28,33,23,84169,55565,588,176,8535,False,7,0,65,22841,23846,40012,344
False,1624,1,0,0,24,46,36,73156,42314,443,165,8120,False,2,0,42,22379,29036,50120,294
True,1624,6,4,0,36,53,24,114774,52545,466,128,8120,False,5,0,58,24017,38138,45820,347
False,2411,7,1,1,50,83,47,209452,79068,763,195,12055,False,6,0,80,25297,35541,48093,359
True,2411,8,4,2,47,70,50,230099,78456,696,323,12055,False,6,0,86,22921,31153,47993,359
False,1237,0,1,0,18,23,31,58049,34588,352,128,6185,False,3,0,36,23794,32437,45833,347
True,1237,7,2,0,31,55,18,76473,44506,390,69,6185,False,3,0,35,26920,32008,49410,366
False,1783,4,1,1,38,70,42,100356,59461,593,208,8915,False,3,0,54,27205,24601,44083,397
True,1783,8,3,0,42,69,38,131888,61847,541,127,8915,False,4,0,44,26162,30013,39398,409
True,2527,11,3,0,56,77,39,207773,85553,879,173,12635,False,5,0,106,25209,29436,46200,387
False,2527,4,2,1,39,65,57,187565,77233,869,166,12635,False,5,0,89,25230,33795,44421,370
True,1496,7,1,1,35,33,19,84238,54668,636,116,7480,False,2,0,48,27070,28954,37682,434
False,1496,2,2,0,19,28,35,71226,43876,537,81,7480,False,5,0,50,24344,29159,39518,351
True,1864,7,1,1,38,69,22,118081,63122,654,216,9320,False,4,0,58,23893,26702,40941,373
False,1864,3,3,0,22,24,38,104234,52253,601,142,9320,False,4,0,70,23185,22800,39956,363
True,1691,11,3,0,24,35,14,86755,52775,605,94,8455,False,3,0,53,25306,31141,42267,421
False,1691,2,0,0,14,23,24,58659,44227,551,84,8455,False,4,0,59,21426,22012,42876,350
True,2524,10,3,2,49,52,50,184651,88558,885,255,12620,False,5,0,66,25406,25097,44990,401
False,2524,7,3,1,50,66,49,187419,81178,853,186,12620,False,6,0,79,26313,29785,36102,389
True,2516,11,3,2,40,49,31,137739,81843,868,197,12580,False,9,0,92,28018,31062,35141,413
False,2516,1,3,0,31,47,40,145248,75643,966,163,12580,False,3,0,68,20526,22038,41515,366
True,2306,8,3,1,31,58,34,165469,74350,775,202,11530,False,6,0,76,23412,21149,35929,418
False,2306,7,3,0,34,76,31,162850,69279,739,320,11530,False,5,0,60,23606,21818,32561,415
True,2146,11,4,1,43,60,32,164712,75292,816,138,10730,False,5,0,63,24485,30640,44961,417
False,2146,3,1,0,32,41,43,112723,65302,746,131,10730,False,3,0,53,23570,26151,46084,363
True,1289,4,3,0,11,19,5,46123,38644,512,64,6445,False,5,0,42,22288,13916,33858,460
False,1289,1,0,0,5,6,11,46887,31591,502,104,6445,False,1,0,40,20424,17433,24316,422
True,1568,11,2,1,36,45,18,109706,58442,560,121,7840,False,1,0,47,30156,36757,37637,381
False,1568,3,1,0,18,14,36,63113,43707,565,84,7840,False,6,0,42,22556,21110,47719,388
False,2060,4,1,1,37,55,41,142485,65232,661,156,10300,False,3,0,47,24131,28742,45523,380
True,2060,9,4,1,41,50,37,152025,73175,809,242,10300,False,6,0,76,25266,31472,48316,433
True,1304,11,3,1,34,42,12,93727,52179,510,120,6520,False,5,0,29,31850,43159,41532,477
False,1304,0,0,0,12,17,35,39892,35114,469,89,6520,False,1,0,29,21698,21749,54764,314
True,1058,1,2,0,10,19,5,42002,30320,384,68,5290,False,4,0,37,21900,26204,39606,399
False,1058,0,1,0,5,3,10,39470,26110,397,33,5290,False,1,0,26,21032,28265,44316,413
True,1974,11,2,1,33,48,25,138538,66931,701,206,9870,False,5,0,69,25212,25536,33268,445
False,1974,2,3,0,25,39,33,90150,54298,652,112,9870,False,4,0,47,20842,18495,39766,350
True,1601,11,2,1,20,45,8,84390,54339,618,83,8005,False,4,0,53,21063,19838,28247,416
False,1601,3,1,0,8,14,20,50727,41501,635,96,8005,False,2,0,49,21507,18000,32059,438
True,1149,5,3,0,19,17,3,36944,35939,435,51,5745,False,3,0,31,24976,24711,32694,411
False,1149,0,0,0,3,2,19,26896,26386,367,43,5745,False,3,0,21,19739,17962,35670,356
False,1960,5,3,0,40,57,52,130660,63586,730,192,9800,False,4,0,74,26091,36448,44891,373
True,1960,11,1,1,52,63,41,129714,69434,681,125,9800,False,4,0,51,28528,36692,46588,361
True,1703,11,3,1,46,61,21,118809,61619,588,175,8515,False,5,0,60,25839,29341,43251,377
False,1703,1,1,0,21,22,46,98523,48218,571,132,8515,False,1,0,72,24010,25710,43056,378
False,941,0,0,0,6,7,18,22617,22917,302,61,4705,False,0,0,19,20397,20143,37654,331
True,941,2,2,0,18,10,6,33758,32451,378,52,4705,False,5,0,25,28522,26724,36043,437
True,2367,11,4,1,37,52,22,154312,80073,999,320,11835,False,7,0,77,23936,25043,35879,432
False,2367,2,1,0,22,34,37,121970,66945,892,148,11835,False,3,0,119,21750,20830,36565,386
True,1681,11,3,0,32,49,16,105294,55370,536,157,8405,False,6,0,52,25664,26629,33274,376
False,1681,0,1,0,16,23,32,77470,45576,614,185,8405,False,0,0,40,23038,20043,43626,403
False,1009,2,0,0,2,1,16,24168,25945,379,35,5045,False,2,0,21,20402,16058,33532,400
True,1009,4,0,0,16,23,2,35795,33311,450,38,5045,False,3,0,24,26048,23115,31719,458
False,2007,1,3,0,22,29,48,100033,59015,736,117,10035,False,1,0,59,21983,18756,37885,373
True,2007,11,1,1,48,87,23,158787,72423,697,223,10035,False,7,0,70,26566,26577,27200,393
False,915,0,0,0,4,4,20,17894,21135,256,40,4575,False,1,0,16,19949,15120,46388,337
True,915,3,1,0,20,21,4,36472,31549,353,69,4575,False,4,0,25,28953,29904,22630,409
True,1531,11,4,1,36,52,16,106151,56357,574,76,7655,False,5,0,42,25899,37978,38826,391
False,1531,2,0,0,16,17,36,58219,43661,513,83,7655,False,2,0,41,22540,23059,52136,367
True,2096,9,3,1,50,100,41,162837,74804,664,140,10480,False,5,0,108,26238,31598,51423,368
False,2096,6,2,0,41,53,50,136081,65366,656,358,10480,False,3,0,57,26063,36606,47978,352
False,1119,2,0,0,12,6,24,39448,30956,357,77,5595,False,3,0,26,22060,27701,46562,352
True,1119,3,2,0,24,30,12,51309,35792,360,81,5595,False,3,0,42,26159,33691,41376,376
True,1360,8,2,0,31,29,15,101852,47134,504,113,6800,False,1,0,23,24522,40728,46651,394
False,1360,1,1,0,15,19,31,61655,36396,405,97,6800,False,3,0,39,21097,28163,52588,345
True,2498,11,3,1,48,57,39,167102,84410,903,248,12490,False,7,0,78,25349,23819,44219,395
False,2498,4,3,0,39,43,48,166324,77696,916,115,12490,False,5,0,103,23897,27085,38369,381
False,1031,0,0,0,4,3,15,29026,25227,380,60,5155,False,3,0,34,20020,19745,35966,397
True,1031,2,1,0,15,20,4,36394,31787,386,66,5155,False,2,0,25,24328,22723,33126,396
True,1184,3,2,0,26,35,16,53577,42155,453,68,5920,False,3,0,30,27241,26995,35764,416
