match_id,team_id,is_winner,game_duration,tower_kills,dragon_kills,baron_kills,total_kills,total_assists,total_deaths,total_damage_dealt,total_gold_earned,total_minions_killed,total_time_cc_dealt,total_time_played,had_afk_teammates,total_scuttle_crab_kills,total_ward_takedowns,total_wards_placed,gold15,damage_done15,kills15,cs15
NA1_5169071791,100,False,1758,3,0,0,10,10,24,66503,46414,643,128,8790,False,4,0,57,21282,22119,39976,396
NA1_5169071791,200,True,1758,6,3,1,24,37,10,94085,52471,619,142,8790,False,2,0,45,22075,26366,31714,353
NA1_5169048700,100,True,1482,5,2,1,28,30,12,72703,45317,484,121,7410,False,3,0,30,25858,34611,42361,379
NA1_5169048700,200,False,1482,2,1,0,12,19,28,59117,38290,444,152,7410,False,3,0,49,21970,28260,49676,327
NA1_5174372796,100,True,2086,11,3,1,47,67,32,133672,69134,561,188,10430,False,3,0,69,21162,21317,41824,309
NA1_5174372796,200,False,2086,3,2,0,32,40,47,122108,57658,562,185,10430,False,4,0,58,22222,25464,35641,285
NA1_5174239340,100,True,2098,11,3,1,28,39,21,122506,62604,620,164,10490,False,7,0,61,21443,23683,32748,339
NA1_5174239340,200,False,2098,3,2,0,21,33,29,85481,55279,708,164,10490,False,1,0,65,19791,19288,36211,360
NA1_5172228909,100,False,970,0,1,0,6,1,25,27847,22393,256,56,4850,False,0,0,17,18567,20004,45616,275
NA1_5172228909,200,True,970,1,1,0,24,21,7,39413,29469,264,71,4850,False,4,0,21,26167,31756,38442,302
NA1_5172205228,100,False,2052,3,2,0,26,31,37,64197,52913,595,113,10260,False,3,0,62,21452,17729,35125,260
NA1_5172205228,200,True,2052,11,3,1,37,25,26,107009,64331,620,103,10260,False,5,0,51,23724,25394,30703,322
NA1_5171836992,100,False,2257,5,2,1,27,31,42,143447,65970,703,139,11285,False,7,0,55,23149,27049,36892,364
NA1_5171836992,200,True,2257,9,3,1,42,77,27,159120,68949,684,264,11285,False,3,0,67,22557,22133,37593,341
NA1_5177081614,100,False,2183,4,1,0,26,30,52,172792,57696,570,166,10915,False,4,0,63,22235,20569,37041,299
NA1_5177081614,200,True,2183,11,4,2,52,91,26,146893,71976,665,195,10915,False,5,0,63,22732,24312,31976,328
NA1_5176990433,100,False,1320,1,1,0,8,14,21,33208,30855,389,69,6600,False,3,0,44,18754,18157,33324,272
NA1_5176990433,200,True,1320,8,2,0,21,23,8,50196,44002,390,45,6600,False,3,0,42,25936,20415,35040,342
NA1_5176079363,100,False,1358,1,1,0,12,9,30,46322,34533,382,78,6790,False,3,0,32,19866,19585,41745,284
NA1_5176079363,200,True,1358,2,2,0,30,38,12,66751,42076,446,76,6790,False,2,0,38,25547,30300,34706,336
NA1_5173408947,100,False,999,0,1,0,3,2,22,32054,21206,270,85,4995,False,0,0,25,18302,26498,47369,287
NA1_5173408947,200,True,999,4,1,0,22,13,3,46506,32520,308,64,4995,False,4,0,20,25503,31769,42915,360
NA1_5173345840,100,False,2208,4,4,0,42,57,43,149645,65127,604,210,11040,False,5,0,49,23362,30880,42100,316
NA1_5173345840,200,True,2208,10,1,1,43,54,42,143659,72069,642,115,11040,False,5,0,66,22503,29843,47242,321
NA1_5170778083,100,False,1588,4,0,0,19,17,31,72180,46090,550,130,7940,False,2,0,44,20855,20964,35923,352
NA1_5170778083,200,True,1588,8,3,0,31,34,19,93195,53268,592,130,7940,False,5,0,53,24235,21575,36305,394
NA1_5170748973,100,False,1071,0,1,0,7,6,21,31097,24978,292,47,5355,False,2,0,21,19726,23873,45910,284
NA1_5170748973,200,True,1071,5,1,0,21,12,7,46686,35995,384,31,5355,False,2,0,23,27111,32441,41839,354
NA1_5170722817,100,False,951,0,1,0,6,6,20,28729,21789,239,66,4755,False,3,0,27,19694,26293,45702,271
NA1_5170722817,200,True,951,3,0,0,20,13,6,40182,32991,374,46,4755,False,1,0,26,28785,33434,37341,400
NA1_5170510195,100,True,1855,11,3,1,42,64,34,102266,62279,437,179,9275,False,10,0,51,25153,26011,47101,290
NA1_5170510195,200,False,1855,6,2,0,34,53,42,95537,55102,547,206,9275,False,0,0,51,22522,32231,38417,248
